name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status
SCLK01-177	MISC	V	0.0	600.0	Miscellaneous	1200.0	good
BG1-2910	MEGREFMAG	T	0.0	600.0	Magnetometer Reference	1200.0	good
BG2-2910	MEGREFMAG	T	0.0	600.0	Magnetometer Reference	1200.0	good
BG3-2910	MEGREFMAG	T	0.0	600.0	Magnetometer Reference	1200.0	good
BP1-2910	MEGREFMAG	T	0.0	600.0	Magnetometer Reference	1200.0	good
BP2-2910	MEGREFMAG	T	0.0	600.0	Magnetometer Reference	1200.0	good
BP3-2910	MEGREFMAG	T	0.0	600.0	Magnetometer Reference	1200.0	good
BR1-2910	MEGREFMAG	T	0.0	600.0	Magnetometer Reference	1200.0	good
BR2-2910	MEGREFMAG	T	0.0	600.0	Magnetometer Reference	1200.0	good
BR3-2910	MEGREFMAG	T	0.0	600.0	Magnetometer Reference	1200.0	good
G11-2910	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
G12-2910	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
G13-2910	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
G22-2910	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
G23-2910	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
P11-2910	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
P12-2910	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
P13-2910	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
P22-2910	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
P23-2910	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
Q11-2910	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
Q12-2910	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
Q13-2910	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
Q22-2910	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
Q23-2910	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
R11-2910	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
R12-2910	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
R13-2910	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
R22-2910	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
R23-2910	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good
MLC11-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLC12-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLC13-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLC14-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLC15-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLC16-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLC17-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLC21-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLC22-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLC23-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLC24-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLC25-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLC31-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLC32-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLC41-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLC42-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLC51-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLC52-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLC53-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLC54-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLC55-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLC61-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLC62-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLC63-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLF11-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLF12-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLF13-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLF14-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLF21-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLF22-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLF23-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLF24-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLF25-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLF31-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLF32-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLF33-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLF34-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLF35-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLF41-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLF42-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLF43-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLF44-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLF45-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLF46-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLF51-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLF52-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLF53-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLF54-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLF55-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLF56-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLF61-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLF62-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLF63-2910	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
